Year,Session Type,Session Title,Division/Unit,Chair Name,Chair Affiliation
2017,Paper Session,Motivated Cognition and Behavior,Information Systems,Yongkuk Chung,Dongguk U
2017,Paper Session,Online News,Communication and Technology,Drew Berkley Margolin,Cornell U
2017,Paper Session,Social Identity and Media Perception,Mass Communication,Arne Freya Zillich,Institute of Communication Research / Friedrich Schiller U Jena
2017,Paper Session,Anayzing Rhetoric: From George Bush to the Muslim Brotherhood,Political Communication,Janice Barrett,Lasell College
2017,Paper Session,How to Enter the Dance: New Perspectives Upon Journalist-Source Relations,Journalism Studies,,
2017,Paper Session,Organizational Communication Research Escalator - Extended Session (Part 2),Organizational Communication,,
2017,Paper Session,Interventions and Connections: Organizational Communication and Public Relations,Public Relations,Jeffrey Stafford,Eastern Washington U
2017,Paper Session,"Digital Technology for Health: Self-Tracking, Social Media, and Virtual Games",Health Communication,Rebecca Robbins,Cornell U
2017,Paper Session,Engaging the Public? Political Implications of News Consumption,Journalism Studies,Peter Maurer,NTNU Trondheim
2017,Paper Session,Flashlights Game Studies Division,Game Studies,Elizabeth Newbury,Wilson Center
2017,Paper Session,Culture in the Political Contexts,Intercultural Communication,Comfort Adebayo,U of Wisconsin - Milwaukee
2017,Paper Session,"Political Discourse: Praising, Blaming, Responding, and Categorizing",Language & Social Interaction,Karen Tracy,U of Colorado
2017,Paper Session,Communication and Technology Top Student Papers,Communication and Technology,Lee Humphreys,Cornell U
2017,Paper Session,Understanding Audience: Toward A General Theory,Mass Communication,David Tewksbury,U of Illinois
2017,Paper Session,Important Media and Message Features,Information Systems,Christopher John Carpenter,Western Illinois U
2017,Paper Session,Understanding the Influence of Social Media and Messaging on Engagement and Participation,Political Communication,Rasmus Kleis Nielsen,Reuters Institute for the Study of Journalism
2017,Paper Session,Mobile and Online Health Interventions,Communication and Technology,Gi Woong Yun,U of Nevada
2017,Paper Session,Social Presence and Technology,Communication and Technology,Nathaniel D. Poor,Underwood Institute
2017,Paper Session,"Media Violence, Agression, and Suspense",Mass Communication,Thomas Franklin Waddell,U of Florida
2017,Paper Session,Mass-Social-Personal Communication Relations,Mass Communication,Emese Domahidi,Leibniz-Institut fuer Wissensmedien
2017,Paper Session,"Native Advertising, Branded Content, and Audience Engagement",Media Industry Studies,Patricia Frances Phalen,George Washington U
2017,Paper Session,From Trolling to Deliberating: How do Reader Comments Matter?,Journalism Studies,Nina Springer,LMU Munich
2017,Paper Session,"Advancing Feminist Theories: Interventions, Integrations, and Intersections",Feminist Scholarship,,
2017,Paper Session,"B.E.S.T.: Leadership, Managers, and Employees",Organizational Communication,Jeffrey William Treem,U of Texas - Austin
2017,Paper Session,"Media Transparency and Corporate News: Interventions, Connections, Disruptions",Public Relations,,
2017,Paper Session,"Fans, Fandom, and Fantagonism: From Football to Fluttershy",Popular Communication,Jonathan Alan Gray,U of Wisconsin - Madison
2017,Paper Session,"Formative, Process, and Outcome Evaluation Research for Health Communication Campaigns",Health Communication,Peter A. Andersen,San Diego State U
2017,Paper Session,Content and Effects of Health-Related Messages on Social Media,Health Communication,Sijia Yang,U of Pennsylvania
2017,Paper Session,Rethinking Notions of Balance and Bias in the News,Journalism Studies,James Stanyer,Loughborough U
2017,Paper Session,"Intercultural Relationships: Friends, Teacher-Student, Family, and Marriage",Intercultural Communication,YoungJu Shin,Arizona State University
2017,Paper Session,Interpersonal Communication in Nontraditional Contexts,Interpersonal Communication,Jennifer A. Samp,U of Georgia
2017,Paper Session,Media Coverage of Immigration,Mass Communication,Janice Barrett,Lasell College
2017,Paper Session,CAT Interactive Paper Session 3,Communication and Technology,Mike Z. Yao,U of Illinois at Urbana-Champaign
2017,Paper Session,"New Measures, New Methods, and New Theories I",Information Systems,Ralf Schmaelzle,Michigan State U
2017,Paper Session,"Powerful Parents, Powerful Peers? Perhaps: When, If, and How Parents and Peers Influence Children amd Teens' Media Experiences (HHD Session)",Children Adolescents and the Media,Eric E Rasmussen,Texas Tech U
2017,Paper Session,"Twitter, Big Data, and the Web",Communication and Technology,Daniel Angus,University of Queensland
2017,Paper Session,Mobile Adoption and Use,Communication and Technology,Chenta Sung,London School of Economics and Political Science
2017,Paper Session,What's Deciding News: Journalistic Practices,Mass Communication,Mark Boukes,Amsterdam School of Communication Research (ASCoR)
2017,Paper Session,Media Parasocial Relations,Mass Communication,Jonathan Cohen,University of Haifa
2017,Paper Session,Media Influences on Political Polarization,Political Communication,Natalie Jomini Stroud,U of Texas - Austin
2017,Paper Session,Communication at Work,Organizational Communication,Rebecca Gill,Wake Forest University
2017,Paper Session,Communication Across the Cancer Continuum,Health Communication,Elisia L. Cohen,U of Southern California
2017,Paper Session,Testing Theories of Health Behavior Prediction in Novel Contexts,Health Communication,Nancy Grant Harrington,U of Kentucky
2017,Paper Session,Labor in Media Industries,Media Industry Studies,,
2017,Paper Session,Interpersonal Message Framing and Interperatation,Interpersonal Communication,Karishma Chatterjee,U of Texas - Arlington
2017,Paper Session,Online Social Support,Communication and Technology,Tobias Dienlin,U of Hohenheim
2017,Paper Session,Issues in Selective Exposure Research,Mass Communication,Stephanie Edgerly,Northwestern U
2017,Paper Session,Health and Medical Information Seeking and Processing (High-Density),Health Communication,Nehama Lewis,University of Haifa
2017,Paper Session,"New Measures, New Methods, and New Theories II",Information Systems,Frank M. Schneider,U of Mannheim
2017,Paper Session,Information Effects in Political Campaigns: Lessons From the US,Political Communication,Ethan Porter,George Washington U
2017,Paper Session,"Social Media, Markets, and Work",Communication and Technology,Nia Sarinastiti,Atma Jaya Catholic University of Indonesia
2017,Paper Session,Social Movements and Technology,Communication and Technology,Kekeli Kwabla Nuviadenu,Bethune-Cookman U
2017,Paper Session,Social Sharing and Virality,Mass Communication,Merja Mahrt,U of Duesseldorf
2017,Paper Session,"Digital Campaigns, Social Media, and Elections: New Platforms, New Research",Political Communication,Kjerstin Thorson,Michigan State U
2017,Paper Session,Sustainable Business Models for News Organizations: Economic Challenges in Journalism,Journalism Studies,Helle Sjovaag,University of Stavanger
2017,Paper Session,New Perspectives Upon Press-Politics Relations,Journalism Studies,Thomas Birkner,U of Muenster
2017,Paper Session,"Children, Adolescents, & the Media Division - Research Escalator Sessions (Panel 1)",Children Adolescents and the Media,Sahara Byrne,Cornell U
2017,Paper Session,"(Don't) Be So Emotional: Athletes, Professors, and Other Publics",Public Relations,Vilma L. Luoma-aho,University of Jyvaskyla
2017,Paper Session,Health Communication in Organizations,Organizational Communication,Keri Keilberg Stephens,U of Texas - Austin
2017,Paper Session,"Factors Shaping Relationships Between Attitudes, Intentions and Behavior",Health Communication,Marco C. Yzer,U of Minnesota - Twin Cities
2017,Paper Session,"Interpersonally Influencing, Persuading, and Deceiving",Interpersonal Communication,Yachao Li,The U of Georgia
2017,Paper Session,"Reflecting, Representing, Resisting: Portrayals of Gender in Film, TV, Advertisement, News Media, and Advice Media",Feminist Scholarship,,
2017,Paper Session,Development Communication in the 21st Century,Global Communication and Social Change,Robert Huesca,Trinity U
2017,Paper Session,Issues in Framing Research,Mass Communication,Alice E. Hall,U of Missouri
2017,Paper Session,International Approaches to Women and Politics,Political Communication,Ingrid Bachmann,Pontificia U Catolica de Chile
2017,Paper Session,Incivility and Online Discussions,Communication and Technology,,
2017,Paper Session,Public Health and Social Media,Communication and Technology,Jeeyun Oh,The U of Texas at Austin
2017,Paper Session,Political Effects of Social Media,Mass Communication,Michael Che Ming Chan,Chinese U of Hong Kong
2017,Paper Session,"Media, Romance, Relationship",Mass Communication,Lelia Samson,Radboud University
2017,Paper Session,Knowledge Gaps and Knowledge Gains,Political Communication,Marcus Maurer,U of Mainz
2017,Paper Session,Top Faculty Papers in Public Relations,Public Relations,Katerina Tsetsura,U of Oklahoma
2017,Paper Session,"Quo Vadis Herstory? Then, Now, and Into the Feminist (Digital) Future",Feminist Scholarship,,
2017,Paper Session,Top Paper Panel,Instructional & Developmental Communication,Stephanie Kelly,North Carolina A&T State U
2017,Paper Session,B.E.S.T.: Networks and Social Media,Organizational Communication,Bart J. van den Hooff,U of Amsterdam
2017,Paper Session,Activist Interventions: Community Resilience and Resistance,Public Relations,,
2017,Paper Session,Narrative Persuasion in Health Contexts,Health Communication,Tae Kyoung Lee,University of Utah
2017,Paper Session,Public Perceptions and Social Constructions of Health Risks and Disease,Health Communication,Iccha Basnyat,National U of Singapore
2017,Paper Session,Regulation and Policy in Media Industry Operation,Media Industry Studies,Philip M. Napoli,Duke U
2017,Paper Session,Organizing Processes in Global Social Change,Global Communication and Social Change,,
2017,Paper Session,Policy Influences and Public Perceptions,Communication Law & Policy,Jasmine McNealy,U of Florida
2017,Paper Session,"Not a Player, Yet? Understanding the Appeal of Video Games",Game Studies,Jesse Fox,Ohio State U
2017,Paper Session,Advances in Text Analysis Methods,Computational Methods,,
2017,Paper Session,#SocialSports: Digital Media Technologies and Sports Communication,Sports Communication,,
2017,Paper Session,Issues in Agenda-Setting Research,Mass Communication,Young Mie Kim,U of Wisconsin-Madison
2017,Paper Session,Health-Related Intervention Research (High-Density),Health Communication,James O. Olufowote,The U of Oklahoma
2017,Paper Session,Processing Political and News Information: New Directions,Information Systems,Luuk Lagerwerf,Vrije Universiteit Amsterdam
2017,Paper Session,"Social Media, Political Participation, and Engagement",Communication and Technology,Ioana Literat,Teachers College
2017,Paper Session,Social Capital and Internet Use,Communication and Technology,Emese Domahidi,Leibniz-Institut fuer Wissensmedien
2017,Paper Session,Emotion in Health Communication,Mass Communication,Angeline Sangalang,University of Dayton
2017,Paper Session,Narrative Involvement and Persuasion,Mass Communication,Sonya Dal Cin,U of Michigan
2017,Paper Session,Political Communication in Latin America,Political Communication,Silvio R. Waisbord,George Washington U
2017,Paper Session,Roles of Emotion in Shaping Communication Effects on Well-Being,Health Communication,Mary Jiang Bresnahan,Michigan State U - Department of Communication
2017,Paper Session,What Counts as Political? Politics and Knowledge in Intertwined Online-Offline Discourse,Feminist Scholarship,,
2017,Paper Session,"Children, Adolescents, & the Media Division - Research Escalator Sessions (Panel 2)",Children Adolescents and the Media,Sahara Byrne,Cornell U
2017,Paper Session,Global Television: Formats and Transformations,Popular Communication,Michael L. Wayne,Ben-Gurion U of the Negev
2017,Paper Session,Theory Interventions II: Organization-Public Relationships,Public Relations,Maureen Taylor,University of Tennessee
2017,Paper Session,Cross-Cultural and Intercultural Dimensions of Organizational Communication,Organizational Communication,Hassan Abu Bakar,U of Utara - Malaysia
2017,Paper Session,Predicting and Avoiding Resistance and Reactance in Health Communication,Health Communication,Andrea Gonzalez Martinez,U of Illinois - Urbana Champaign
2017,Paper Session,Business Models and Business Strategies in Journalism and Television,Media Industry Studies,,
2017,Paper Session,Researching Ecologies of News: The Role of Markets and Communities,Journalism Studies,Mary Angela Bock,U of Texas - Austin
2017,Paper Session,New Temporal and Spatial Visual Environments,Visual Communication Studies,Paul Frosh,Hebrew U of Jerusalem
2017,Paper Session,Exploring Country Images and Nation Brands Building,Public Diplomacy,,
2017,Paper Session,Social Influences in News Making,Mass Communication,Sarah Cavanah,U of North Dakota
2017,Paper Session,Getting People to Do Stuff in Interaction,Language & Social Interaction,Jessica Sarah Robles,Loughborough U
2017,Paper Session,Online Interactions and Social Support,Communication and Technology,Moritz Buchi,U of Zurich
2017,Paper Session,Media and the Construction of Reality,Mass Communication,Rick W. Busselle,Bowling Green State U
2017,Paper Session,Interpersonally Managing Conflict,Interpersonal Communication,Timothy Curran,U of Georgia
2017,Paper Session,Promising Student Papers (Best Papers by Student Authors),Information Systems,,
2017,Paper Session,Top Student Papers in Public Relations,Public Relations,Chiara Valentini,Aarhus U
2017,Paper Session,"Learning From Media (Part 1): Teaching Youngsters Through Television, Books, and Games",Children Adolescents and the Media,Drew Cingel,U of California -- Davis
2017,Paper Session,Top Papers in Intercultural Communication,Intercultural Communication,Stephen Michael Croucher,Massey University
2017,Paper Session,"B.E.S.T.: Activism, Volunteerism and Nongovernmental Organizations",Organizational Communication,William C. Barley,U of Illinois
2017,Paper Session,Top Papers in Sports Communication,Sports Communication,,
2017,Paper Session,Evaluating Health Communication Interventions,Health Communication,Autumn Shafer,U of Oregon
2017,Paper Session,"Technologies of Communication: History, Policy, and Economy",Communication History,David W. Park,Lake Forest College
2017,Paper Session,Top Papers in Global Communication and Social Change,Global Communication and Social Change,Terry Flew,Queensland U of Technology
2017,Paper Session,Public Interest vs State Interest in Regulatory Considerations,Communication Law & Policy,Seamus Simpson,U of Salford
2017,Paper Session,Social Support,Instructional & Developmental Communication,CJ Claus,California State U
2017,Paper Session,"Thoroughly Mixed Bag: Consumption, Culture, and Celebrity",Popular Communication,Cornel Sandvoss,U of Huddersfield
2017,Paper Session,Media Portrayals and Frames of Health Issues,Mass Communication,Freya Sukalla,Leipzig University
2017,Paper Session,Incivility in Audience Comments,Mass Communication,,
2017,Paper Session,Studying Online News Flows: The Role of Audiences,Journalism Studies,Janice Barrett,Lasell College
2017,Paper Session,Learning From Media (Part 2): How & When Media Influence Children & Teens' Social Behaviors,Children Adolescents and the Media,Sindy R. Sumter,U of Amsterdam
2017,Paper Session,Health Communication and HIV Prevention,Health Communication,Robin E. Jensen,U of Utah
2017,Paper Session,"Stress, Coping, and Social Support",Health Communication,Rachel Young,U of Iowa
2017,Paper Session,Computational methods for Analyzing Visual and Online Communication,Computational Methods,Frederik de Grove,Ghent U
2017,Paper Session,Digital Divides,Communication and Technology,Melissa Tully,University of Iowa
2017,Paper Session,"Impact of Social Attention, Virality, and Engagement",Mass Communication,Hyun Suk Kim,The Ohio State University
2017,Paper Session,Communication and Health-Related Stigma (High-Density),Health Communication,,
2017,Paper Session,The Use and Effects of New Media,Information Systems,Sriram Kalyanaraman,University of Florida
2017,Paper Session,Under the Hood: Content Analytic Insight Into the Media Landscape of Children & Teens (HHD Session),Children Adolescents and the Media,Bradley J Bond,U of San Diego
2017,Paper Session,Viewing Television and Second Screens,Communication and Technology,Joo-Young Jung,International Christian U
2017,Paper Session,"Emotion, News, and Politics",Mass Communication,Leonard Reinecke,U of Mainz
2017,Paper Session,Protest Communication and Communication of Protest,Political Communication,Eike Mark Rinke,U of Mannheim
2017,Paper Session,Influences on Learning and Knowledge,Political Communication,R. Kelly Garrett,Ohio State U
2017,Paper Session,Contexts and Processes for Communicating Social Identity and Group Perceptions,Intergroup Communication,Lena Frischlich,U of Muenster
2017,Paper Session,Communicating Organizational Knowledge,Organizational Communication,Jody Jahn,U of Colorado Boulder
2017,Paper Session,Effects of Exposure to Health-Related Messages on Facebook,Health Communication,Jared Scott Brickman,Washington State U
2017,Paper Session,"Data, Technology and Change in Media Industries",Media Industry Studies,Sora Park,U of Canberra
2017,Paper Session,A Focus On Instructors,Instructional & Developmental Communication,Davi Kallman,Washington State U
2017,Paper Session,Visual Framing: Theorizing the Management of Meaning and Memory,Visual Communication Studies,Akiba A. Cohen,Tel Aviv U
2017,Paper Session,"Environment, Science, and Media",Mass Communication,Sonny Rosenthal,Nanyang Technological University
2017,Paper Session,CAT Interactive Paper Session 4,Communication and Technology,Chih-Hui Lai,National Chiao Tung U
2017,Paper Session,Message Processing and Effects: New Insights,Information Systems,Thomas Koch,U of Mainz
2017,Paper Session,Populism in the Press and Online,Political Communication,Jesper Stromback,U of Gothenburg
2017,Paper Session,Online Privacy,Communication and Technology,Tobias Dienlin,U of Hohenheim
2017,Paper Session,Information Processing and Technology,Communication and Technology,Donghee Yvette Wohn,New Jersey Institute of Technology
2017,Paper Session,Psychology of Media Enjoyment,Mass Communication,Allison Eden,Michigan State U
2017,Paper Session,"Argument, Engagement, and Persuasion",Mass Communication,Marc Ziegele,Johannes Gutenberg University of Mainz
2017,Paper Session,"Propaganda, Censorship, and Information in China",Political Communication,Lukas Otto,U of Koblenz-Landau
2017,Paper Session,New Perspectives on Newsworthiness,Journalism Studies,Oren Meyers,U of Haifa
2017,Paper Session,Communication in Public: From the Streets to Institutions and Businesses,Language & Social Interaction,Theresa R. Castor,Univ of Wisconsin-Parkside
2017,Paper Session,"The Mediated T(w)een Years: Self-Expression, Self-Concept, & Appearance Satisfaction",Children Adolescents and the Media,Kristen Harrison,U of Michigan
2017,Paper Session,Creativity and Creative Behaviors in Media Industries,Media Industry Studies,,
2017,Paper Session,"Crossing Borders: Popular Culture, Politics, and National Identity",Popular Communication,Aswin Punathambekar,U of Michigan
2017,Paper Session,Challenges to Effective Communication in Healthcare Settings,Health Communication,Yulia Strekalova,U of Florida
2017,Paper Session,Understanding Audiences for Tobacco-Related Health Communication,Health Communication,Meghan Bridgid Moran,Johns Hopkins Bloomberg School of Public
2017,Paper Session,Theory and Research on Testing Health Message Effects,Health Communication,Andy J King,Texas Tech U
2017,Paper Session,"Postcoloniality, Nationalism, and Propaganda",Global Communication and Social Change,Daya Thussu,U of Westminster
2017,Paper Session,To Troll or not to Troll: Online Harassment in Video Games,Game Studies,Jan Van Looy,Ghent University
2017,Paper Session,Multitasking and Attention,Communication and Technology,Benjamin K. Johnson,Vrije U Amsterdam
2017,Paper Session,Media and Audience Fragmentation,Mass Communication,Michael Scharkow,Zeppelin U
2017,Paper Session,The Role of Emotion in Information Processing,Information Systems,Rachel L. Bailey,Washington State U
2017,Paper Session,Are They Buying It? Consumer Socialization and Advertising Responses Among Children & Teens (HHD Session),Children Adolescents and the Media,Mariska Kleemans,Radboud U Nijmegen
2017,Paper Session,Technology and Democracy,Communication and Technology,Stephan Winter,Amsterdam School of Communication Research ASCoR / U of Amsterdam
2017,Paper Session,Digital Skills & Inequality,Communication and Technology,Michael David Hazen,Wake Forest U
2017,Paper Session,Issues in Advertising Research,Mass Communication,Christiana Schallhorn,U of Wuerzburg
2017,Paper Session,How Political Actors Use Social Media: Lessons for Success,Political Communication,Daniel Kreiss,U of North Carolina at Chapel Hill
2017,Paper Session,Visibility in News Coverage: Attention to Actors and Issues,Political Communication,David Nicolas Hopmann,U of Southern Denmark
2017,Paper Session,Journalists’ Discourses About Journalism: Negotiating Professional Practices and Boundaries,Journalism Studies,Stephanie L. Craft,U of Illinois
2017,Paper Session,"Why Sports Communication Matters: Identity, Representation, and Social Responsibility",Sports Communication,Gregory D. Newton,Ohio U
2017,Paper Session,Exploring Financial Public Relations and Investor Relations,Public Relations,Alison N. Novak,Rowan U
2017,Paper Session,"The Construction of Body: Age, Disability, and Plastic Surgery in Media Portrayals",Feminist Scholarship,,
2017,Paper Session,"Social Norms, Social Capital, and Social Influence in Health Communication",Health Communication,Sandi W Smith,Michigan State U
2017,Paper Session,Message Framing Effects in Health Contexts,Health Communication,Lourdes Martinez,San Diego State U
2017,Paper Session,Doing Justice to Journalism: Legal Challenges in the News,Journalism Studies,,
2017,Paper Session,"Global Exclusions: Refugees, Exiles, and Migrants",Global Communication and Social Change,Radhika Gajjala,Bowling Green State U
2017,Paper Session,Visual Methods Focused on Photography,Visual Communication Studies,Catherine L. Preston,U of Kansas
2017,Paper Session,Media Choice and Selection,Mass Communication,Felix Frey,Leipzig University
2017,Paper Session,Message Effects on Health Behavior and Related Outcomes (High-Density),Health Communication,Allison J Lazard,University of North Carolina–Chapel Hill
2017,Paper Session,"Information Seeking, Sharing, and Diffusion",Information Systems,Bridget E Rubenking,U of Central Florida
2017,Paper Session,Advances in Framing Effects Research,Political Communication,Kimberly A. Gross,George Washington U
2017,Paper Session,Critical Digital Labor and Algorithmic Studies,Communication and Technology,,
2017,Paper Session,Digital Deception,Communication and Technology,,
2017,Paper Session,"Issues in Crisis, Risk, Disaster Comunication Research",Mass Communication,Robert Benjamin Lull,California State University
2017,Paper Session,Understanding and Advising Organizations in Their PR Efforts,Political Communication,Cristian Vaccari,U of Bologna & Royal Holloway
2017,Paper Session,For (All) the Times of Your Life: Photo-Sharing Platforms,Visual Communication Studies,Catherine L. Preston,U of Kansas
2017,Paper Session,In the Palm of My Hand: Mobile Media Throughout Childhood & Adolescence,Children Adolescents and the Media,Meryl Alper,Northeastern U
2017,Paper Session,"Crisis, Risk and Reliability in Organizational Communication",Organizational Communication,Craig R. Scott,Rutgers U - New Brunswick
2017,Paper Session,Interventions in Political and Government Relations,Public Relations,,
2017,Paper Session,Advances in Network Analysis,Computational Methods,Winson Peng,Michigan State U
2017,Paper Session,Images and Social Media,Communication and Technology,Uta Russmann,FHWien der WKW U of Applied Sciences for Management & Communication
2017,Paper Session,Emotion and Social Media,Mass Communication,Gina Masullo Chen,The U of Texas at Austin
2017,Paper Session,User Comments and Feedback,Information Systems,Louisa S Ha,Bowling Green State U
2017,Paper Session,Attention and Divided Attention,Information Systems,Byungho Park,KAIST
2017,Paper Session,Trust and Tradeoffs for Online Privacy,Communication and Technology,Opeyemi Akanbi,UPenn
2017,Paper Session,Technology Studies,Communication and Technology,,
2017,Paper Session,Not-So-Good-Feelings in Media Consumption,Mass Communication,Matthias Hofer,U of Zurich
2017,Paper Session,"Media, Gender, and Gender Roles",Mass Communication,Lelia Samson,Radboud University
2017,Paper Session,Information Processing and Motivated Reasoning,Political Communication,Kimberly A. Gross,George Washington U
2017,Paper Session,Constructive Uses of Journalism,Journalism Studies,Risto Kunelius,U of Tampere
2017,Paper Session,Interventions of Strategic Communication and Public Relations in China,Public Relations,Chun-ju Flora Hung-Baesecke,Massey U
2017,Paper Session,Health Communication and Vulnerable Populations,Health Communication,Satveer Kaur-Gill,National University of Singapore
2017,Paper Session,Entertainment Production and Distribution,Media Industry Studies,,
2017,Paper Session,Computational Methods for Studying Political Communication,Computational Methods,Jennifer Pan,Stanford U
2017,Paper Session,"Social Media Connection, Addiction, Escapism",Communication and Technology,Caleb T. Carr,Illinois State U
2017,Paper Session,The Role of Media in Public Mobilization and Participation,Mass Communication,,
2017,Paper Session,"For a Good Cause: Compliance, Political Participation, and Climate Change",Information Systems,Allison Z Shaw,U at Buffalo-SUNY
2017,Paper Session,"Relational Interaction, Texting, and Social Media",Communication and Technology,Joseph Bayer,The Ohio State U
2017,Paper Session,Social Connectedness and Well-Being,Communication and Technology,Todd Richard Davies,Stanford U
2017,Paper Session,"Gender, Sex, and Sexuality",Mass Communication,Charisse L'Pree Corsbie-Massay,Syracuse U
2017,Paper Session,"Media: Market, Ecology, System",Mass Communication,Matthew D. Matsaganis,Rutgers University
2017,Paper Session,Campaign Strategies and Information Effects: Insights From Europe,Political Communication,Frank Esser,U of Zurich
2017,Paper Session,Interpersonally Managing Close Relationships,Interpersonal Communication,Jeffrey A. Hall,U of Kansas
2017,Paper Session,Communication and Ingroup-Outgroup Attitudes,Intergroup Communication,Jessica Gasiorek,U of Hawaii - Manoa
2017,Paper Session,"Communication, Mental Health and Well-Being",Health Communication,Corey Pavlich,U of Arizona
2017,Paper Session,Studies of Media and Contextual Effects on Health Behavior,Health Communication,Xiaowen Xu,U of Connecticut
2017,Paper Session,Challenges in Content Regulation,Communication Law & Policy,,
2017,Paper Session,Social Media and Cultural Adaptation,Intercultural Communication,Ling Chen,Hong Kong Baptist U
2017,Paper Session,Playful Learning? Serious Gaming and Social Effects,Game Studies,Ruud Jacobs,Erasmus U Rotterdam
2018,Paper Session,PRECONFERENCE: Global Perspectives on Populism and the Media - Day 2,Sponsored Sessions,,
2018,Paper Session,PRECONFERENCE: Screen Industries in East-Central Europe - Day 2,Sponsored Sessions,,
2018,Paper Session,PRECONFERENCE: Network(ed) Histories (Breakout 2),Sponsored Sessions,,
2018,Paper Session,PRECONFERENCE: Network(ed) Histories (Breakout 1),Sponsored Sessions,,
2018,Paper Session,PRECONFERENCE: Voice and Voices (Breakout 1),Sponsored Sessions,,
2018,Paper Session,PRECONFERENCE: Voice and Voices (Breakout 2),Sponsored Sessions,,
2018,Paper Session,"PRECONFERENCE: Diverse Voices: Authentic Communication, Trust, Dialogue, and Society - Day 2",Sponsored Sessions,,
2018,Paper Session,PRECONFERENCE: Communicating with Machines (Breakout Room),Sponsored Sessions,,
2018,Paper Session,PRECONFERENCE: The Visual Expression of Voice (Breakout Room),Sponsored Sessions,,
2018,Paper Session,PRECONFERENCE: Global Media and Human Rights - Day 2,Sponsored Sessions,,
2018,Paper Session,"Transitions, Transgressions, and Relational Uncertainties",Interpersonal Communication,Darcy L Wente-Hahn,University of Nebraska-Lincoln
2018,Paper Session,Understanding Determinants of Health Behavior,Health Communication,Matthew W Savage,San Diego State University
2018,Paper Session,"Seeking, Sharing, and Being Persuaded by Health Information Online",Communication and Technology,Ysabel Gerrard,The University of Sheffield
2018,Paper Session,Research to Inform the Design of Communication Interventions,Health Communication,Daniel Totzkay,Michigan State U
2018,Paper Session,Narratives,Mass Communication,Michael W. Wagner,U of Wisconsin-Madison
2018,Paper Session,Deliberation and Its Effects,Political Communication,Hartmut Wessler,U Mannheim
2018,Paper Session,Understanding Journalism From a Community Perspective,Journalism Studies,Gwen Bouvier,Maynooth University
2018,Paper Session,Selective Exposure and Its Influences,Political Communication,Bob van der Velde,U of Amsterdam
2018,Paper Session,Voices From Corporations and Stakeholders in Crisis Communication,Public Relations,Juan-Carlos Molleda,U of Oregon SOJC
2018,Paper Session,International Communication and Media Theory,"Philosophy, Theory and Critique",François Allard,University of Lorraine
2018,Paper Session,Advertising and Consumer Behavior,Mass Communication,Denis Wu,Boston U
2018,Paper Session,Editorial Judgment in the New Media Environment,Journalism Studies,Henrik Ornebring,Karlstad U
2018,Paper Session,"Feeling(s) and Presence in New Environments: Smarthome Devices, Avatars, and Augmented/Virtual Reality",Communication and Technology,Donghee Yvette Wohn,New Jersey Institute of Technology
2018,Paper Session,Online Influence: Paying Attention to Ads and Brands Online,Communication and Technology,Rebecca A. Hayes,Illinois State U
2018,Paper Session,No Filter?: The Powerful Role of Media in Everyday Life,Communication and Technology,Veronika Karnowski,LMU Munich
2018,Paper Session,"Mediating Identities: Race, Class, and Gender",Communication History,Annie Rudd,U of Calgary
2018,Paper Session,HIGH-DENSITY: Exploring Production of and Response to Controversial Content,Information Systems,Tessa Irene DeAngelo,U of California
2018,Paper Session,"Children, Adolescents and the Media Research Escalator Session",Children Adolescents and the Media,Nancy Jennings,U of Cincinnati
2018,Paper Session,Mobile Communication Theory,Mobile Communication,Colin Agur,U of Minnesota
2018,Paper Session,Digital Diplomacy,Public Diplomacy,Phillip C Arceneaux,U of Florida
2018,Paper Session,HIGH-DENSITY: Evaluating Communication Campaigns and Mechanisms of Effects,Health Communication,Rajiv N. Rimal,George Washington U
2018,Paper Session,Media Effects on Health Attitudes and Behaviors,Health Communication,Carolyn Lin,U of Connecticut
2018,Paper Session,Difficult Topics in Health Communication,Health Communication,Nicholas Iannarino,University of Michigan-Dearborn
2018,Paper Session,News Effects in Contexts,Mass Communication,Christin Scholz,University of Amsterdam/ Amsterdam School of Communication Research (ASCoR)
2018,Paper Session,"Media Use, Interest and Participation",Political Communication,Claudia Riesmeyer,LMU Munich
2018,Paper Session,Covering Politics: New Political Journalism Research,Political Communication,Benjamin J Toff,University of Minnesota
2018,Paper Session,"Advertising, Narratives, and Message Framing",Mass Communication,Michal Hershman Shitrit,U of Haifa
2018,Paper Session,@Journalists on #Twitter,Journalism Studies,Shannon C McGregor,University of Utah
2018,Paper Session,Insights From Big Data and Quantitative Methodology,Public Relations,Yi-Ru Regina Chen,HONG KONG BAPTIST UNIVERSITY
2018,Paper Session,New Theories and New Models for Thinking About Technology,Communication and Technology,Lee Humphreys,Cornell U
2018,Paper Session,Political Expression and Discussion on Social Media,Communication and Technology,Aaron S. Veenstra,Southern Illinois U Carbondale
2018,Paper Session,Social Media Scholarship and the Affordances Approach,Communication and Technology,Anne Oeldorf-Hirsch,U of Connecticut
2018,Paper Session,Modern Visual Cultures,Communication History,David W. Park,Lake Forest College
2018,Paper Session,"HIGH-DENSITY: Cognitive Processing, Social Influence, and Social Networks",Information Systems,Siyue Li,School of Communication - The Ohio State University
2018,Paper Session,Mobility and Migration,Mobile Communication,Colin Agur,U of Minnesota
